customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
2.34966e+18,Champions,Skincare,Store,85.8,687.49,588.25,7,Channel aligned
-4.70693e+18,Loyal,Skincare,Estore,85.8,673.87,658.14,31,New pattern to test
3.62932e+18,Champions,Skincare,Store,85.8,671.12,590.88,31,Channel aligned
3.16355e+18,Champions,Skincare,Estore,85.8,665.1,564.7,51,New pattern to test
-3.87763e+18,Champions,Make Up,Store,85.8,658.54,635.0899999999999,14,Category and channel aligned
7.40252e+17,Loyal,Make Up,Store,85.8,655.48,989.97,9,Category and channel aligned
-7.22263e+17,Champions,Fragrance,Store,85.8,637.13,530.5,184,Channel aligned
3.77362e+17,Champions,Skincare,Store,85.8,631.56,560.9499999999999,17,Channel aligned
-4.06317e+18,Champions,Make Up,Estore,85.8,620.5699999999999,499.4799999999999,10,Category aligned
-7.68741e+18,Champions,Make Up,Estore,85.8,613.38,572.99,65,Category aligned
-4.86752e+17,Loyal,Skincare,Store,85.8,611.1,805.6,15,Channel aligned
8.21874e+18,Recent,Make Up,Store,85.8,597.7,641.4000000000001,0,Category and channel aligned
-1.90595e+18,Recent,Mixed Basket (Make Up + 1 others),Estore,85.8,589.48,547.09,22,New pattern to test
-3.87415e+17,Loyal,Mixed Basket (Make Up + 1 others),Store,85.8,554.53,518.23,41,Channel aligned
4.4192e+18,At Risk,Mixed Basket (Make Up + 5 others),Store,85.8,549.2,519.8000000000001,330,Channel aligned
-7.44866e+18,Loyal,Skincare,Store,85.8,535.3199999999999,436.7199999999999,27,Channel aligned
7.46448e+18,Loyal,Make Up,Store,85.8,531.99,795.09,86,Category and channel aligned
-6.18581e+18,Recent,Make Up,Store,85.8,528.12,714.37,104,Category and channel aligned
-8.51866e+18,Champions,Make Up,Estore,85.8,510.40999999999997,447.75,44,Category aligned
9.16593e+18,Loyal,Make Up,Store,85.8,508.34999999999997,677.8499999999999,53,Category and channel aligned
-4.42852e+18,At Risk,Mixed Basket (Make Up + 5 others),Store,85.8,496.83,437.65999999999997,354,Channel aligned
4.63914e+18,Promising,Mixed Basket (Make Up + 2 others),Store,85.8,461.4,461.4,237,Channel aligned
-6.36093e+18,Loyal,Mixed Basket (Make Up + 1 others),Store,85.8,455.75,427.25,1,Channel aligned
-1.53853e+18,Loyal,Fragrance,Store,85.8,430.4,420.62,59,Channel aligned
1.28996e+18,Loyal,Mixed Basket (Make Up + 1 others),Store,85.8,343.32,415.41999999999996,10,Channel aligned
-1.55423e+17,Loyal,Make Up,Store,85.8,339.3,389.2,10,Category and channel aligned
2.70774e+17,Potential Loyalist,Fragrance,Estore,85.8,303.49,354.99,22,New pattern to test
7.09606e+18,Recent,Make Up,Store,85.8,300.4,408.4,28,Category and channel aligned
3.15505e+18,Need Attention,Skincare,Store,85.8,296.16,319.36,19,Channel aligned
-3.6956e+18,Loyal,Skincare,Store,85.8,251.95000000000002,301.95000000000005,246,Channel aligned
8.30345e+18,Potential Loyalist,Skincare,Store,85.8,228.29,282.69,23,Channel aligned
5.75446e+18,Need Attention,Mixed Basket (Fragrance + 1 others),Store,85.8,218.74,310.49,32,Channel aligned
7.69577e+18,Need Attention,Make Up,Store,85.8,203.4,272.8,87,Category and channel aligned
-3.74309e+18,Recent,Make Up,Store,85.8,199.79,259.78999999999996,101,Category and channel aligned
1.47016e+18,Recent,Fragrance,Store,85.8,177.59,177.59,152,Channel aligned
6.6361e+18,Need Attention,Others,Store,85.8,164.9,264.9,97,Channel aligned
-1.68246e+17,About to Sleep,Others,Store,85.8,95.5,155.5,16,Channel aligned
1.90339e+18,At Risk,Mixed Basket (Make Up + 7 others),Store,85.7,1292.33,1182.46,283,Channel aligned
4.08052e+18,Champions,Skincare,Estore,85.7,1088.3999999999999,964.1799999999998,31,New pattern to test
4.95202e+18,Need Attention,Skincare,Store,85.7,1084.94,853.3600000000001,5,Channel aligned
-5.13125e+18,Champions,Mixed Basket (Fragrance + 1 others),Store,85.7,960.36,868.76,7,Channel aligned
-5.74519e+18,Champions,Skincare,Store,85.7,936.53,792.41,13,Channel aligned
7.46892e+18,Recent,Make Up,Store,85.7,832.61,685.95,11,Category and channel aligned
8.95161e+17,Champions,Make Up,Store,85.7,832.5699999999999,648.8799999999999,9,Category and channel aligned
-4.51642e+18,Champions,Fragrance,Store,85.7,815.1,706.3,7,Channel aligned
-8.53842e+17,Champions,Fragrance,Estore,85.7,788.9200000000001,627.6300000000001,17,New pattern to test
-7.83387e+18,Champions,Make Up,Estore,85.7,771.25,717.46,22,Category aligned
-6.20463e+18,Champions,Skincare,Store,85.7,769.27,663.85,1,Channel aligned
7.662e+18,Champions,Skincare,Store,85.7,759.9399999999999,689.75,34,Channel aligned
-6.76338e+18,Loyal,Skincare,Store,85.7,752.66,675.3599999999999,14,Channel aligned
7.79538e+18,Champions,Fragrance,Store,85.7,741.16,628.93,16,Channel aligned
-6.37157e+18,Champions,Fragrance,Store,85.7,714.71,547.4100000000001,15,Channel aligned
-8.06394e+18,Champions,Skincare,Store,85.7,688.88,629.35,25,Channel aligned
1.77684e+18,Champions,Fragrance,Store,85.7,676.15,577.23,38,Channel aligned
